Epoch :45	 Loss:1.933592	 Accuracy:193.750 OA:39.20	 AA:36.53
Epoch :46	 Loss:1.946796	 Accuracy:200.000 OA:38.38	 AA:36.24
Epoch :47	 Loss:1.857095	 Accuracy:200.000 OA:37.46	 AA:36.59
Epoch :48	 Loss:1.966643	 Accuracy:206.250 OA:36.22	 AA:36.66
Epoch :49	 Loss:1.893781	 Accuracy:212.500 OA:35.94	 AA:37.02
Epoch :50	 Loss:1.636068	 Accuracy:212.500 OA:36.65	 AA:37.24
Epoch :51	 Loss:1.994153	 Accuracy:212.500 OA:38.33	 AA:37.87
Epoch :52	 Loss:1.889249	 Accuracy:218.750 OA:38.12	 AA:38.22
Epoch :53	 Loss:1.963302	 Accuracy:218.750 OA:37.39	 AA:38.32
Epoch :54	 Loss:1.565602	 Accuracy:218.750 OA:36.16	 AA:37.88
Epoch :55	 Loss:1.785870	 Accuracy:218.750 OA:19.42	 AA:37.75
Epoch :56	 Loss:1.656587	 Accuracy:218.750 OA:18.90	 AA:37.30
Epoch :57	 Loss:1.808573	 Accuracy:218.750 OA:26.78	 AA:37.62
Epoch :58	 Loss:1.770824	 Accuracy:218.750 OA:27.75	 AA:38.43
Epoch :59	 Loss:1.691284	 Accuracy:218.750 OA:28.41	 AA:38.98
Epoch :60	 Loss:1.682524	 Accuracy:237.500 OA:29.47	 AA:39.84
Epoch :61	 Loss:1.867356	 Accuracy:243.750 OA:30.19	 AA:41.11
Epoch :62	 Loss:1.820517	 Accuracy:243.750 OA:23.33	 AA:40.67
Epoch :63	 Loss:1.704645	 Accuracy:231.250 OA:24.33	 AA:42.37
Epoch :64	 Loss:1.627814	 Accuracy:256.250 OA:24.71	 AA:42.57
Epoch :65	 Loss:1.687737	 Accuracy:237.500 OA:23.98	 AA:41.46
Epoch :66	 Loss:1.553847	 Accuracy:243.750 OA:23.88	 AA:40.93
Epoch :67	 Loss:1.932758	 Accuracy:243.750 OA:27.82	 AA:40.60
Epoch :68	 Loss:1.775553	 Accuracy:250.000 OA:28.01	 AA:40.91
Epoch :69	 Loss:1.515688	 Accuracy:250.000 OA:27.55	 AA:41.10
Epoch :70	 Loss:1.695819	 Accuracy:250.000 OA:27.32	 AA:40.92
Epoch :71	 Loss:1.771422	 Accuracy:250.000 OA:27.36	 AA:41.01
Epoch :72	 Loss:1.550194	 Accuracy:250.000 OA:26.97	 AA:40.52
Epoch :73	 Loss:1.469486	 Accuracy:250.000 OA:26.85	 AA:40.61
Epoch :74	 Loss:1.755001	 Accuracy:250.000 OA:26.45	 AA:40.48
Epoch :75	 Loss:1.595527	 Accuracy:250.000 OA:25.68	 AA:40.35
Epoch :76	 Loss:1.985944	 Accuracy:256.250 OA:21.37	 AA:40.26
Epoch :77	 Loss:1.416574	 Accuracy:250.000 OA:20.33	 AA:38.93
Epoch :78	 Loss:1.681139	 Accuracy:250.000 OA:19.53	 AA:38.32
Epoch :79	 Loss:1.567746	 Accuracy:250.000 OA:18.81	 AA:37.75
Epoch :80	 Loss:1.537284	 Accuracy:250.000 OA:17.90	 AA:37.07
Epoch :81	 Loss:1.455007	 Accuracy:250.000 OA:17.62	 AA:36.94
Epoch :82	 Loss:1.375974	 Accuracy:250.000 OA:17.72	 AA:36.51
Epoch :83	 Loss:1.426730	 Accuracy:243.750 OA:22.59	 AA:37.41
Epoch :84	 Loss:1.667895	 Accuracy:250.000 OA:23.02	 AA:38.09
Epoch :85	 Loss:1.311994	 Accuracy:250.000 OA:15.73	 AA:39.23
Epoch :86	 Loss:1.661132	 Accuracy:250.000 OA:15.94	 AA:39.39
Epoch :87	 Loss:1.421446	 Accuracy:250.000 OA:15.46	 AA:37.37
Epoch :88	 Loss:1.332227	 Accuracy:243.750 OA:13.89	 AA:35.68
Epoch :89	 Loss:1.645134	 Accuracy:250.000 OA:14.07	 AA:35.72
Epoch :90	 Loss:1.429032	 Accuracy:250.000 OA:14.90	 AA:36.50
Epoch :91	 Loss:1.590168	 Accuracy:250.000 OA:15.64	 AA:36.99
Epoch :92	 Loss:1.522306	 Accuracy:250.000 OA:16.00	 AA:37.38
Epoch :93	 Loss:1.468505	 Accuracy:250.000 OA:17.93	 AA:37.04
Epoch :94	 Loss:1.372676	 Accuracy:256.250 OA:19.22	 AA:38.62
Epoch :95	 Loss:1.637751	 Accuracy:256.250 OA:21.22	 AA:40.63
Epoch :96	 Loss:1.420359	 Accuracy:250.000 OA:21.33	 AA:40.42
Epoch :97	 Loss:1.740512	 Accuracy:250.000 OA:22.38	 AA:41.42
Epoch :98	 Loss:1.544992	 Accuracy:250.000 OA:22.57	 AA:41.61
Epoch :99	 Loss:1.360276	 Accuracy:256.250 OA:21.90	 AA:41.41
Epoch :100	 Loss:1.391127	 Accuracy:262.500 OA:26.19	 AA:41.41
Epoch :101	 Loss:1.364505	 Accuracy:250.000 OA:25.83	 AA:40.86
Epoch :102	 Loss:1.384257	 Accuracy:250.000 OA:25.10	 AA:40.42
Epoch :103	 Loss:1.456009	 Accuracy:250.000 OA:25.18	 AA:40.60
Epoch :104	 Loss:1.701473	 Accuracy:250.000 OA:25.97	 AA:40.99
Epoch :105	 Loss:1.504496	 Accuracy:250.000 OA:26.09	 AA:41.39
Epoch :106	 Loss:1.802633	 Accuracy:243.750 OA:39.59	 AA:41.85
Epoch :107	 Loss:1.484028	 Accuracy:250.000 OA:40.06	 AA:41.77
Epoch :108	 Loss:1.524314	 Accuracy:231.250 OA:39.01	 AA:39.82
Epoch :109	 Loss:1.258216	 Accuracy:250.000 OA:40.24	 AA:40.90
Epoch :110	 Loss:1.245902	 Accuracy:256.250 OA:42.62	 AA:42.63
Epoch :111	 Loss:1.339787	 Accuracy:250.000 OA:42.48	 AA:42.00
Epoch :112	 Loss:1.571123	 Accuracy:250.000 OA:41.92	 AA:41.55
Epoch :113	 Loss:1.573238	 Accuracy:250.000 OA:40.56	 AA:41.21
Epoch :114	 Loss:1.644817	 Accuracy:250.000 OA:40.39	 AA:41.23
Epoch :115	 Loss:1.355681	 Accuracy:250.000 OA:39.87	 AA:41.03
Epoch :116	 Loss:1.307002	 Accuracy:250.000 OA:39.54	 AA:40.84
Epoch :117	 Loss:0.979254	 Accuracy:250.000 OA:38.54	 AA:39.98
Epoch :118	 Loss:1.667703	 Accuracy:250.000 OA:39.29	 AA:40.58
Epoch :119	 Loss:1.511595	 Accuracy:250.000 OA:40.15	 AA:40.86
Epoch :120	 Loss:1.168474	 Accuracy:250.000 OA:40.11	 AA:40.34
Epoch :121	 Loss:1.072907	 Accuracy:268.750 OA:39.33	 AA:39.35
Epoch :122	 Loss:1.149255	 Accuracy:250.000 OA:38.80	 AA:38.40
Epoch :123	 Loss:1.276398	 Accuracy:250.000 OA:37.78	 AA:38.33
Epoch :124	 Loss:1.636943	 Accuracy:250.000 OA:36.65	 AA:38.72
Epoch :125	 Loss:1.346971	 Accuracy:250.000 OA:19.52	 AA:38.20
Epoch :126	 Loss:1.331702	 Accuracy:250.000 OA:19.37	 AA:38.29
Epoch :127	 Loss:1.765510	 Accuracy:250.000 OA:19.78	 AA:38.86
Epoch :128	 Loss:1.126440	 Accuracy:250.000 OA:20.09	 AA:39.34
Epoch :129	 Loss:1.278944	 Accuracy:250.000 OA:20.84	 AA:39.66
Epoch :130	 Loss:1.332629	 Accuracy:262.500 OA:21.01	 AA:39.79
Epoch :131	 Loss:1.443959	 Accuracy:262.500 OA:20.92	 AA:39.80
Epoch :132	 Loss:1.505020	 Accuracy:262.500 OA:20.54	 AA:39.79
Epoch :133	 Loss:1.382848	 Accuracy:262.500 OA:19.81	 AA:39.69
Epoch :134	 Loss:1.538796	 Accuracy:250.000 OA:16.56	 AA:38.57
Epoch :135	 Loss:1.427832	 Accuracy:243.750 OA:20.27	 AA:39.10
Epoch :136	 Loss:1.256350	 Accuracy:256.250 OA:20.50	 AA:39.52
Epoch :137	 Loss:1.202631	 Accuracy:262.500 OA:21.34	 AA:39.96
Epoch :138	 Loss:1.302832	 Accuracy:262.500 OA:22.42	 AA:40.47
Epoch :139	 Loss:1.178969	 Accuracy:262.500 OA:23.10	 AA:40.82
Epoch :140	 Loss:1.390933	 Accuracy:262.500 OA:24.57	 AA:42.54
Epoch :141	 Loss:1.580357	 Accuracy:268.750 OA:25.09	 AA:43.14
Epoch :142	 Loss:1.612268	 Accuracy:262.500 OA:25.43	 AA:42.98
Epoch :143	 Loss:1.367206	 Accuracy:262.500 OA:25.63	 AA:42.33
Epoch :144	 Loss:1.185410	 Accuracy:262.500 OA:25.58	 AA:41.78
Epoch :145	 Loss:1.293477	 Accuracy:262.500 OA:25.59	 AA:41.65
Epoch :146	 Loss:1.449506	 Accuracy:262.500 OA:25.87	 AA:41.80
Epoch :147	 Loss:1.494066	 Accuracy:262.500 OA:25.36	 AA:41.23
Epoch :148	 Loss:1.393164	 Accuracy:268.750 OA:24.65	 AA:41.75
Epoch :149	 Loss:1.305450	 Accuracy:275.000 OA:20.33	 AA:41.20
Epoch :150	 Loss:1.119560	 Accuracy:268.750 OA:19.11	 AA:41.53
Epoch :151	 Loss:0.850584	 Accuracy:262.500 OA:17.61	 AA:40.83
Epoch :152	 Loss:1.289678	 Accuracy:262.500 OA:16.37	 AA:40.34
Epoch :153	 Loss:1.164401	 Accuracy:262.500 OA:15.62	 AA:40.00
Epoch :154	 Loss:1.374810	 Accuracy:262.500 OA:14.84	 AA:39.69
Epoch :155	 Loss:1.386452	 Accuracy:262.500 OA:14.61	 AA:39.66
Epoch :156	 Loss:0.876460	 Accuracy:256.250 OA:15.22	 AA:40.16
Epoch :157	 Loss:1.129737	 Accuracy:262.500 OA:16.48	 AA:41.26
Epoch :158	 Loss:1.206412	 Accuracy:268.750 OA:17.80	 AA:42.77
Epoch :159	 Loss:0.983111	 Accuracy:256.250 OA:18.67	 AA:43.30
Epoch :160	 Loss:1.160400	 Accuracy:250.000 OA:19.26	 AA:43.12
Epoch :161	 Loss:1.208586	 Accuracy:275.000 OA:19.22	 AA:42.26
Epoch :162	 Loss:1.139382	 Accuracy:275.000 OA:18.21	 AA:40.00
Epoch :163	 Loss:0.890396	 Accuracy:281.250 OA:30.00	 AA:40.02
Epoch :164	 Loss:1.101938	 Accuracy:275.000 OA:34.37	 AA:41.83
Epoch :165	 Loss:0.979547	 Accuracy:275.000 OA:33.12	 AA:41.09
Epoch :166	 Loss:1.233437	 Accuracy:287.500 OA:31.01	 AA:40.49
Epoch :167	 Loss:1.475882	 Accuracy:287.500 OA:30.68	 AA:40.57
Epoch :168	 Loss:1.349166	 Accuracy:293.750 OA:31.37	 AA:41.31
Epoch :169	 Loss:1.059314	 Accuracy:300.000 OA:31.16	 AA:42.19
Epoch :170	 Loss:1.392499	 Accuracy:318.750 OA:32.03	 AA:42.47
Epoch :171	 Loss:1.490691	 Accuracy:293.750 OA:32.36	 AA:42.39
Epoch :172	 Loss:1.697201	 Accuracy:287.500 OA:31.72	 AA:41.47
Epoch :173	 Loss:1.281863	 Accuracy:275.000 OA:36.80	 AA:42.14
Epoch :174	 Loss:1.231226	 Accuracy:275.000 OA:37.48	 AA:42.70
Epoch :175	 Loss:1.054531	 Accuracy:275.000 OA:37.54	 AA:43.84
Epoch :176	 Loss:1.013383	 Accuracy:293.750 OA:37.48	 AA:44.73
Epoch :177	 Loss:0.984366	 Accuracy:287.500 OA:37.52	 AA:44.48
Epoch :178	 Loss:1.419660	 Accuracy:306.250 OA:38.40	 AA:45.27
Epoch :179	 Loss:1.067219	 Accuracy:300.000 OA:40.67	 AA:46.39
Epoch :180	 Loss:1.052069	 Accuracy:281.250 OA:42.22	 AA:46.46
Epoch :181	 Loss:1.592586	 Accuracy:281.250 OA:42.93	 AA:46.96
Epoch :182	 Loss:1.114860	 Accuracy:281.250 OA:43.75	 AA:46.89
Epoch :183	 Loss:1.005972	 Accuracy:287.500 OA:44.44	 AA:47.86
Epoch :184	 Loss:1.371514	 Accuracy:293.750 OA:44.79	 AA:48.11
Epoch :185	 Loss:1.114661	 Accuracy:300.000 OA:45.05	 AA:48.66
Epoch :186	 Loss:1.012704	 Accuracy:306.250 OA:44.53	 AA:48.34
Epoch :187	 Loss:0.983332	 Accuracy:312.500 OA:44.11	 AA:48.12
Epoch :188	 Loss:1.154929	 Accuracy:312.500 OA:43.42	 AA:47.84
Epoch :189	 Loss:1.018760	 Accuracy:312.500 OA:40.80	 AA:45.79
Epoch :190	 Loss:1.102684	 Accuracy:306.250 OA:38.70	 AA:44.69
Epoch :191	 Loss:0.973423	 Accuracy:306.250 OA:28.45	 AA:42.59
Epoch :192	 Loss:0.799004	 Accuracy:281.250 OA:29.08	 AA:42.83
Epoch :193	 Loss:0.999916	 Accuracy:281.250 OA:28.89	 AA:42.84
