Epoch :45	 Loss:1.131856	 Accuracy:456.250 OA:66.74	 AA:81.29
Epoch :46	 Loss:0.940380	 Accuracy:443.750 OA:66.94	 AA:81.35
Epoch :47	 Loss:0.999919	 Accuracy:462.500 OA:67.75	 AA:81.60
Epoch :48	 Loss:0.989305	 Accuracy:450.000 OA:67.85	 AA:81.60
Epoch :49	 Loss:1.150379	 Accuracy:456.250 OA:68.21	 AA:81.64
Epoch :50	 Loss:0.785715	 Accuracy:462.500 OA:68.42	 AA:81.54
Epoch :51	 Loss:0.828247	 Accuracy:462.500 OA:68.80	 AA:81.44
Epoch :52	 Loss:0.775865	 Accuracy:462.500 OA:68.88	 AA:81.32
Epoch :53	 Loss:1.012838	 Accuracy:450.000 OA:68.85	 AA:81.28
Epoch :54	 Loss:0.809005	 Accuracy:475.000 OA:68.78	 AA:81.26
Epoch :55	 Loss:1.098082	 Accuracy:468.750 OA:68.71	 AA:81.15
Epoch :56	 Loss:0.935149	 Accuracy:468.750 OA:68.50	 AA:81.00
Epoch :57	 Loss:0.830899	 Accuracy:468.750 OA:68.71	 AA:80.98
Epoch :58	 Loss:0.800268	 Accuracy:468.750 OA:68.73	 AA:80.86
Epoch :59	 Loss:1.025485	 Accuracy:468.750 OA:69.03	 AA:81.00
Epoch :60	 Loss:0.766754	 Accuracy:468.750 OA:69.03	 AA:81.06
Epoch :61	 Loss:0.690374	 Accuracy:481.250 OA:69.16	 AA:81.16
Epoch :62	 Loss:0.753527	 Accuracy:475.000 OA:68.98	 AA:81.14
Epoch :63	 Loss:0.821645	 Accuracy:462.500 OA:69.14	 AA:81.50
Epoch :64	 Loss:0.848097	 Accuracy:475.000 OA:69.53	 AA:81.80
Epoch :65	 Loss:1.063641	 Accuracy:468.750 OA:69.66	 AA:82.08
Epoch :66	 Loss:0.772803	 Accuracy:475.000 OA:69.65	 AA:82.07
Epoch :67	 Loss:0.659075	 Accuracy:475.000 OA:69.99	 AA:82.21
Epoch :68	 Loss:0.875102	 Accuracy:468.750 OA:69.95	 AA:82.29
Epoch :69	 Loss:0.590392	 Accuracy:481.250 OA:70.14	 AA:82.41
Epoch :70	 Loss:0.547282	 Accuracy:481.250 OA:69.87	 AA:82.30
Epoch :71	 Loss:0.763047	 Accuracy:487.500 OA:69.75	 AA:82.30
Epoch :72	 Loss:0.574526	 Accuracy:481.250 OA:69.84	 AA:82.36
Epoch :73	 Loss:0.899638	 Accuracy:481.250 OA:70.25	 AA:82.73
Epoch :74	 Loss:0.674480	 Accuracy:481.250 OA:70.32	 AA:82.78
Epoch :75	 Loss:0.614025	 Accuracy:487.500 OA:70.52	 AA:82.72
Epoch :76	 Loss:0.749025	 Accuracy:487.500 OA:70.67	 AA:82.52
Epoch :77	 Loss:0.582148	 Accuracy:481.250 OA:70.89	 AA:82.58
Epoch :78	 Loss:0.604313	 Accuracy:475.000 OA:71.00	 AA:82.68
Epoch :79	 Loss:0.673509	 Accuracy:481.250 OA:70.50	 AA:82.43
Epoch :80	 Loss:0.489013	 Accuracy:487.500 OA:70.24	 AA:82.47
Epoch :81	 Loss:0.407468	 Accuracy:487.500 OA:70.33	 AA:82.65
Epoch :82	 Loss:0.612141	 Accuracy:475.000 OA:70.54	 AA:82.49
Epoch :83	 Loss:0.694463	 Accuracy:487.500 OA:70.28	 AA:82.53
Epoch :84	 Loss:0.644747	 Accuracy:481.250 OA:70.43	 AA:82.45
Epoch :85	 Loss:0.590751	 Accuracy:481.250 OA:70.49	 AA:82.34
